"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03050","hsa03050","Proteasome","8/80","46/8541",8.11612167671054e-09,1.43655353677776e-06,1.1789734646169e-06,"PSME2/PSMB8/PSMB9/PSMA5/PSMA4/PSME1/PSMB1/PSMA7",8
"hsa05012","hsa05012","Parkinson disease","15/80","271/8541",2.35552599660926e-08,2.0846405069992e-06,1.71085572385304e-06,"TUBA1B/SLC25A5/TUBA1A/COX5A/TUBB/PARK7/PSMA5/PSMA4/CYC1/UBE2L6/PSMB1/PSMA7/NDUFS8/CALM2/VDAC1",15
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","15/80","371/8541",1.39926416843923e-06,8.25565859379145e-05,6.77538439454784e-05,"TUBA1B/TUBA1A/COX5A/TUBB/ACTG1/PSMA5/PSMA4/ACTB/HNRNPA1/CYC1/PSMB1/PSMA7/SRSF7/NDUFS8/VDAC1",15
"hsa05020","hsa05020","Prion disease","12/80","278/8541",9.31101468471427e-06,0.000412012399798606,0.000338136849076466,"TUBA1B/SLC25A5/TUBA1A/COX5A/TUBB/PSMA5/PSMA4/CYC1/PSMB1/PSMA7/NDUFS8/VDAC1",12
"hsa04530","hsa04530","Tight junction","9/80","170/8541",2.73774824280228e-05,0.000845406042103494,0.000693821194233019,"TUBA1B/TUBA1A/ARPC3/ARPC1B/ACTG1/ACTB/CD1A/ARPC2/CD1C",9
"hsa05016","hsa05016","Huntington disease","12/80","311/8541",2.86578319357117e-05,0.000845406042103494,0.000693821194233019,"TUBA1B/SLC25A5/TUBA1A/COX5A/TUBB/PSMA5/PSMA4/CYC1/PSMB1/PSMA7/NDUFS8/VDAC1",12
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","15/80","483/8541",3.41676179288994e-05,0.000863952624773599,0.000709042296870393,"TUBA1B/SLC25A5/TUBA1A/COX5A/TUBB/PARK7/PSMA5/PSMA4/CYC1/UBE2L6/PSMB1/PSMA7/NDUFS8/CALM2/VDAC1",15
"hsa05010","hsa05010","Alzheimer disease","13/80","391/8541",6.11489132321174e-05,0.0013529197052606,0.00111033552974108,"TUBA1B/SLC25A5/TUBA1A/COX5A/TUBB/PSMA5/PSMA4/CYC1/PSMB1/PSMA7/NDUFS8/CALM2/VDAC1",13
"hsa04145","hsa04145","Phagosome","8/80","159/8541",0.000112513386248389,0.00221276326288499,0.00181600553243014,"TUBA1B/CORO1A/TUBA1A/TUBB/ACTG1/ACTB/HLA-DQB1/TAP1",8
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","8/80","203/8541",0.000593293216953124,0.0105012899400703,0.0086183646252138,"TUBA1B/TUBA1A/ARPC3/TUBB/ARPC1B/ACTG1/ACTB/ARPC2",8
"hsa01200","hsa01200","Carbon metabolism","6/80","116/8541",0.000731369304966328,0.0115987508291638,0.00951904617558489,"FBP1/IDH2/ENO1/MDH2/PGAM1/ECHS1",6
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","5/80","78/8541",0.000786355988417882,0.0115987508291638,0.00951904617558489,"ARPC3/ARPC1B/ACTG1/ACTB/ARPC2",5
"hsa03010","hsa03010","Ribosome","7/80","172/8541",0.00109731344997777,0.014940344665082,0.0122614782264723,"RPSA/RPS4Y1/RPL5/RPL4/RPL14/RPL7A/RPL10A",7
"hsa05017","hsa05017","Spinocerebellar ataxia","6/80","144/8541",0.00223311079035238,0.0256791242101703,0.0210747495748052,"SLC25A5/PSMA5/PSMA4/PSMB1/PSMA7/VDAC1",6
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","5/80","99/8541",0.00228689270493784,0.0256791242101703,0.0210747495748052,"GSN/ARPC3/ARPC1B/CFL1/ARPC2",5
"hsa05132","hsa05132","Salmonella infection","8/80","251/8541",0.00232127676476116,0.0256791242101703,0.0210747495748052,"TUBA1B/TUBA1A/ARPC3/TUBB/ARPC1B/ACTG1/ACTB/ARPC2",8
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","4/80","67/8541",0.00349796948055276,0.0364200351798729,0.0298897701743827,"FBP1/LDHB/ENO1/PGAM1",4
"hsa04810","hsa04810","Regulation of actin cytoskeleton","7/80","232/8541",0.00588503274639717,0.0578694886729055,0.0474932467253105,"GSN/ARPC3/ARPC1B/ACTG1/ACTB/CFL1/ARPC2",7
"hsa05171","hsa05171","Coronavirus disease - COVID-19","7/80","238/8541",0.00674516140351999,0.0608920576568395,0.0499738564177451,"RPSA/RPS4Y1/RPL5/RPL4/RPL14/RPL7A/RPL10A",7
"hsa04612","hsa04612","Antigen processing and presentation","4/80","81/8541",0.00688045849229824,0.0608920576568395,0.0499738564177451,"PSME2/PSME1/HLA-DQB1/TAP1",4
"hsa04210","hsa04210","Apoptosis","5/80","136/8541",0.00880476400571792,0.0742115823339081,0.0609051344756427,"TUBA1B/TUBA1A/ACTG1/ACTB/CTSH",5
"hsa05135","hsa05135","Yersinia infection","5/80","138/8541",0.00934599419248352,0.0751927714577083,0.0617103922757285,"ARPC3/ARPC1B/ACTG1/ACTB/ARPC2",5
"hsa04814","hsa04814","Motor proteins","6/80","197/8541",0.010198131618148,0.0784812737570521,0.0644092523251454,"TUBA1B/TUBA1A/TUBB/ACTG1/ACTB/CAPZB",6
