"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04657","hsa04657","IL-17 signaling pathway","15/53","95/8541",6.94974454492137e-18,9.66014491744071e-16,6.73027892771333e-16,"CXCL5/CCL20/S100A8/CXCL8/S100A9/PTGS2/CXCL2/CXCL3/IL1B/MMP1/CXCL1/IL6/FOSB/TNFAIP3/JUND",15
"hsa05323","hsa05323","Rheumatoid arthritis","13/53","95/8541",1.00099963928405e-14,6.95694749302417e-13,4.84694562179647e-13,"CXCL5/CCL3L3/CCL20/CCL3/CXCL8/CXCL2/CXCL3/IL1B/MMP1/CXCL1/IL6/CTSL/IL1A",13
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","12/53","100/8541",6.06093474554205e-13,2.80823309876782e-11,1.95651226873638e-11,"CCL18/CXCL5/CCL3L3/CCL20/CCL3/CXCL8/CXCL2/CXCL3/CXCL1/IL6/CCL4/TNFRSF1B",12
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","16/53","298/8541",1.49561473931502e-11,5.19726121911969e-10,3.62096200044689e-10,"CCL18/CXCL5/CCL3L3/CCL20/IL1RN/CCL3/CXCL8/INHBA/CXCL2/CXCL3/IL1B/CXCL1/IL6/CCL4/IL1A/TNFRSF1B",16
"hsa04668","hsa04668","TNF signaling pathway","10/53","119/8541",2.21661418626557e-09,6.16218743781829e-08,4.29323168708279e-08,"CXCL5/CCL20/PTGS2/CXCL2/CXCL3/IL1B/CXCL1/IL6/TNFAIP3/TNFRSF1B",10
"hsa04064","hsa04064","NF-kappa B signaling pathway","9/53","105/8541",1.28213199171637e-08,2.97027244747627e-07,2.06940602171766e-07,"CXCL8/PTGS2/CXCL2/CXCL3/IL1B/CXCL1/CCL4/BCL2A1/TNFAIP3",9
"hsa05417","hsa05417","Lipid and atherosclerosis","11/53","216/8541",6.29524608366349e-08,1.25005600804175e-06,8.70921262702318e-07,"CCL3L3/SOD2/CCL3/CXCL8/CXCL2/CXCL3/IL1B/MMP1/CXCL1/IL6/OLR1",11
"hsa04062","hsa04062","Chemokine signaling pathway","10/53","193/8541",2.30444911631158e-07,4.00398033959137e-06,2.78959629869296e-06,"CCL18/CXCL5/CCL3L3/CCL20/CCL3/CXCL8/CXCL2/CXCL3/CXCL1/CCL4",10
"hsa05134","hsa05134","Legionellosis","6/53","56/8541",1.09316792696276e-06,1.68833713164248e-05,1.17627426059151e-05,"CXCL8/CXCL2/CXCL3/IL1B/CXCL1/IL6",6
"hsa04621","hsa04621","NOD-like receptor signaling pathway","8/53","189/8541",1.8734769588191e-05,0.000260413297275855,0.000181431452854061,"CXCL8/CXCL2/CXCL3/IL1B/NAMPT/CXCL1/IL6/TNFAIP3",8
"hsa05146","hsa05146","Amoebiasis","6/53","103/8541",3.85431112861674e-05,0.000487044769888842,0.000339326912758603,"CXCL8/CXCL2/CXCL3/IL1B/CXCL1/IL6",6
"hsa04620","hsa04620","Toll-like receptor signaling pathway","6/53","109/8541",5.30595900045028e-05,0.000614606917552157,0.000428200200036338,"CCL3L3/CCL3/CXCL8/IL1B/IL6/CCL4",6
"hsa05133","hsa05133","Pertussis","5/53","78/8541",0.000113706414197069,0.00121578396718405,0.000847043733289907,"CXCL5/CXCL8/IL1B/IL6/IL1A",5
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","7/53","196/8541",0.00018978653190002,0.0018843091381502,0.00131280909284224,"CXCL8/PTGS2/CXCL2/CXCL3/CXCL1/IL6/HIF1A",7
"hsa05144","hsa05144","Malaria","4/53","50/8541",0.000246402125211826,0.00214962673869588,0.0014976574021963,"CXCL8/IL1B/THBS1/IL6",4
"hsa04936","hsa04936","Alcoholic liver disease","6/53","144/8541",0.000247439049058519,0.00214962673869588,0.0014976574021963,"CXCL8/CXCL2/CXCL3/IL1B/CXCL1/IL6",6
"hsa04640","hsa04640","Hematopoietic cell lineage","5/53","100/8541",0.000365827638939818,0.00299117893015498,0.00208397168931661,"CD44/IL1B/ANPEP/IL6/IL1A",5
"hsa05142","hsa05142","Chagas disease","5/53","103/8541",0.000419441925072774,0.00323902375472865,0.00225664661442662,"CCL3L3/CCL3/CXCL8/IL1B/IL6",5
"hsa05163","hsa05163","Human cytomegalovirus infection","7/53","226/8541",0.000452582141389687,0.00331099566595613,0.00230678986193082,"CCL3L3/CCL3/CXCL8/PTGS2/IL1B/IL6/CCL4",7
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","4/53","71/8541",0.00094432250546349,0.00656304141297126,0.00457250897382322,"CXCL8/CXCL2/CXCL3/CXCL1",4
"hsa05140","hsa05140","Leishmaniasis","4/53","79/8541",0.00140786016178492,0.00931869345181447,0.00649238771349437,"PTGS2/IL1B/FCGR2A/IL1A",4
"hsa04380","hsa04380","Osteoclast differentiation","5/53","143/8541",0.00184545011817182,0.0116598893829947,0.00812351248190468,"IL1B/FOSB/FCGR2A/IL1A/JUND",5
"hsa05219","hsa05219","Bladder cancer","3/53","41/8541",0.00203641320470952,0.0123070189328097,0.00857437138825061,"CXCL8/MMP1/THBS1",3
